timestamp,probe_rtt,sosd_comm_rank,queue_depth_local,queue_depth_cloud,queue_depth_db_tasks,queue_depth_db_snaps,thread_local_wakeup,thread_cloud_wakeup,thread_db_wakeup,feedback_checkin_messages,socket_messages,socket_bytes_recv,socket_bytes_sent,mpi_sends,mpi_bytes,db_transactions,db_insert_announce,db_insert_announce_nop,db_insert_publish,db_insert_publish_nop,db_insert_val_snaps,db_insert_val_snaps_nop,buffer_creates,buffer_bytes_on_heap,buffer_destroys,pipe_creates,pub_handles
1465232385.667587,0.000184,0,           0,           0,           2,       41500,3205,1085789,1028914,12,3291,73746712,92972,391,73746188,7,4,0,4,14,7,0,0,0,0,0,4
1465232385.767845,0.000183,0,           0,           0,           2,       41500,3205,1087465,1028914,12,3292,73746736,93196,391,73746188,7,4,0,4,14,7,0,0,0,0,0,4
1465232385.868030,0.000113,0,         155,           2,           3,       92500,3409,1087546,1028914,12,3653,82036840,102060,416,78225752,8,4,0,4,17,7,0,0,0,0,0,4
1465232385.968259,0.000158,0,           0,           0,           5,      141500,3605,1087942,1028914,12,3694,82957984,103244,439,82957580,8,4,0,4,17,7,0,0,0,0,0,4
1465232386.068577,0.000262,0,           0,           0,           5,      141500,3605,1089646,1028914,12,3695,82958008,103468,439,82957580,8,4,0,4,17,7,0,0,0,0,0,4
1465232386.168792,0.000136,0,           0,           0,           5,      141500,3605,1091325,1028914,12,3696,82958032,103692,439,82957580,8,4,0,4,17,7,0,0,0,0,0,4
1465232386.268990,0.000129,0,           0,           0,           0,           0,3605,1093024,1028915,12,3697,82958056,103916,439,82957580,8,4,0,4,17,8,0,0,0,0,0,4
1465232386.369149,0.000090,0,           1,           3,           1,        2158,3614,1094666,1028915,12,3709,83200392,104404,440,82969616,8,4,0,4,17,8,0,0,0,0,0,4
1465232386.469320,0.000100,0,         140,          18,           1,       48363,3801,1094689,1028915,12,4036,90685552,112452,464,87034672,8,4,0,4,17,8,0,0,0,0,0,4
1465232386.569540,0.000151,0,           0,           0,           1,      100000,4005,1095095,1028915,12,4100,92169328,114188,485,92168964,8,4,0,4,17,8,0,0,0,0,0,4
1465232386.669786,0.000177,0,           0,           0,           1,      100000,4005,1096852,1028915,12,4101,92169352,114412,485,92168964,8,4,0,4,17,8,0,0,0,0,0,4
1465232386.770006,0.000158,0,           0,           0,           1,      100000,4005,1098608,1028915,12,4102,92169376,114636,485,92168964,8,4,0,4,17,8,0,0,0,0,0,4
1465232386.870219,0.000146,0,           0,           0,           1,      100000,4005,1100370,1028915,12,4103,92169400,114860,485,92168964,8,4,0,4,17,8,0,0,0,0,0,4
1465232386.970400,0.000109,0,           0,           0,           1,      100000,4005,1102103,1028915,16,4108,92169520,115264,485,92168964,8,4,0,4,17,8,0,0,0,0,0,4
1465232387.070652,0.000183,0,         161,           5,           5,      159415,4243,1102210,1028915,16,4509,101380744,125088,513,97247268,9,4,0,4,21,8,0,0,0,0,0,4
1465232387.170919,0.000192,0,           0,           0,           5,      200000,4405,1103024,1028915,16,4510,101380768,125312,529,101380340,9,4,0,4,21,8,0,0,0,0,0,4
1465232387.271136,0.000150,0,           0,           0,           5,      200000,4405,1104788,1028915,16,4511,101380792,125536,529,101380340,9,4,0,4,21,8,0,0,0,0,0,4
1465232387.371300,0.000133,0,           0,           0,           5,      200000,4405,1106562,1028915,16,4512,101380816,125760,529,101380340,9,4,0,4,21,8,0,0,0,0,0,4
1465232387.471499,0.000165,0,           0,           0,           0,           0,4405,1108293,1028916,16,4513,101380840,125984,529,101380340,9,4,0,4,21,9,0,0,0,0,0,4
1465232387.571699,0.000129,0,          18,           0,           1,        8481,4439,1109644,1028916,16,4567,102590352,127480,535,102015188,9,4,0,4,21,9,0,0,0,0,0,4
1465232387.672630,0.000892,0,          39,           3,           1,       63500,4662,1109674,1028916,16,4812,108187216,133560,565,107115492,9,4,0,4,21,9,0,0,0,0,0,4
1465232387.772887,0.000181,0,           0,           0,           1,      100000,4805,1109929,1028916,16,4916,110592112,136256,573,110591716,9,4,0,4,21,9,0,0,0,0,0,4
1465232387.873155,0.000195,0,           0,           0,           1,      100000,4805,1111668,1028916,16,4917,110592136,136480,573,110591716,9,4,0,4,21,9,0,0,0,0,0,4
1465232387.973434,0.000204,0,           0,           0,           1,      100000,4805,1113400,1028916,16,4918,110592160,136704,573,110591716,9,4,0,4,21,9,0,0,0,0,0,4
