timestamp,probe_rtt,sosd_comm_rank,queue_depth_local,queue_depth_cloud,queue_depth_db_tasks,queue_depth_db_snaps,thread_local_wakeup,thread_cloud_wakeup,thread_db_wakeup,feedback_checkin_messages,socket_messages,socket_bytes_recv,socket_bytes_sent,mpi_sends,mpi_bytes,db_transactions,db_insert_announce,db_insert_announce_nop,db_insert_publish,db_insert_publish_nop,db_insert_val_snaps,db_insert_val_snaps_nop,buffer_creates,buffer_bytes_on_heap,buffer_destroys,pipe_creates,pub_handles,vm_peak,vm_size
1465317812.181386,0.000235,0,           0,           0,           0,           0,48007,622765,490266,54,48379,1105435488,1229102,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317812.281714,0.000247,0,           0,           0,           0,           0,48007,624477,490266,54,48380,1105435512,1229342,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317812.381974,0.000206,0,           0,           0,           0,           0,48007,626195,490266,54,48381,1105435536,1229582,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317812.482280,0.000219,0,           0,           0,           0,           0,48007,627912,490266,54,48382,1105435560,1229822,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317812.582598,0.000236,0,           0,           0,           0,           0,48007,629637,490266,54,48383,1105435584,1230062,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317812.682895,0.000244,0,           0,           0,           0,           0,48007,631360,490266,54,48384,1105435608,1230302,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317812.783231,0.000252,0,           0,           0,           0,           0,48007,633087,490266,54,48385,1105435632,1230542,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317812.883508,0.000201,0,           0,           0,           0,           0,48007,634838,490266,54,48386,1105435656,1230782,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317812.983811,0.000223,0,           0,           0,           0,           0,48007,636596,490266,54,48387,1105435680,1231022,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317813.084119,0.000222,0,           0,           0,           0,           0,48007,638377,490266,54,48388,1105435704,1231262,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317813.184474,0.000272,0,           0,           0,           0,           0,48007,640083,490266,54,48389,1105435728,1231502,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317813.284788,0.000223,0,           0,           0,           0,           0,48007,641787,490266,54,48390,1105435752,1231742,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317813.385059,0.000189,0,           0,           0,           0,           0,48007,643495,490266,54,48391,1105435776,1231982,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317813.485337,0.000233,0,           0,           0,           0,           0,48007,645238,490266,54,48392,1105435800,1232222,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317813.585620,0.000211,0,           0,           0,           0,           0,48007,646999,490266,54,48393,1105435824,1232462,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317813.685976,0.000273,0,           0,           0,           0,           0,48007,648714,490266,54,48394,1105435848,1232702,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317813.786273,0.000214,0,           0,           0,           0,           0,48007,650367,490266,54,48395,1105435872,1232942,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317813.886609,0.000248,0,           0,           0,           0,           0,48007,652061,490266,54,48396,1105435896,1233182,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
1465317813.986885,0.000196,0,           0,           0,           0,           0,48007,653786,490266,54,48397,1105435920,1233422,4666,1105445200,5,6,0,6,18,5,0,0,0,0,0,6,1977436,1815796
